lon,lat
45.12245084735387,-12.958921265368016
45.172450847353865,-12.958921265368016
45.172450847353865,-12.908921265368015
45.12245084735387,-12.858921265368014
45.172450847353865,-12.858921265368014
45.12245084735387,-12.808921265368014
45.172450847353865,-12.808921265368014
45.07245084735387,-12.758921265368013
45.12245084735387,-12.758921265368013
45.172450847353865,-12.758921265368013
45.22245084735386,-12.758921265368013
45.07245084735387,-12.708921265368012
45.12245084735387,-12.708921265368012
